# Ridge Phase 4 ground-truth measurements
# gpu,NVIDIA A100-SXM4-40GB
# sms,108
# nominal_clock_mhz,1410
# sweep,data/sweep/phase4-registered.csv
# warmup_seconds,5
# canary_start_tflops,239.606
# NOTE clocks must be locked (nvidia-smi -lgc 1410,1410), see PLAN.md Finding 9
M,N,K,tag,BM,BN,BK,WM,WN,stages,groupM,regsPerThread,smemBytes,threads,tflops,cublas_tflops,fraction_of_cublas,canary_tflops
4096,4096,128,very-short-k,128,128,32,64,64,4,32,225,75776,128,64.3175,67.2838,0.955913,238.696
4096,4096,128,very-short-k,256,128,64,64,64,3,4,248,162816,256,59.5465,67.2838,0.885004,238.696
4096,4096,128,very-short-k,256,128,64,64,64,3,16,248,162816,256,56.953,67.2838,0.846459,238.696
1024,4096,4096,small-m,128,128,32,64,64,3,8,224,67584,128,118.98,218.226,0.545214,238.696
1024,4096,4096,small-m,128,128,32,64,64,4,8,225,75776,128,133.204,218.226,0.610395,238.696
1024,4096,4096,small-m,128,128,64,64,64,3,8,243,107520,128,114.466,218.226,0.524528,238.696
1024,4096,4096,small-m,128,128,64,64,32,3,8,125,107520,256,114.029,218.226,0.522527,238.696
1024,4096,4096,small-m,128,256,32,64,64,3,8,236,133120,256,89.8986,218.226,0.411952,238.696
1024,4096,4096,small-m,256,128,32,64,64,3,8,226,135168,256,82.6749,218.226,0.37885,238.696
1024,4096,4096,small-m,128,64,64,64,32,4,8,127,110592,128,105.383,218.226,0.482907,238.696
1024,4096,4096,small-m,64,128,64,32,64,4,8,167,106496,128,77.0764,218.226,0.353195,238.696
1024,4096,4096,small-m,64,64,64,32,32,4,8,91,73728,128,98.7331,218.226,0.452435,238.696
1024,4096,4096,small-m,256,128,64,64,64,3,8,248,162816,256,101.954,218.226,0.467192,239.445
1024,4096,4096,small-m,128,128,32,64,32,3,8,124,67584,256,120.49,218.226,0.552135,239.445
1024,4096,4096,small-m,128,128,32,64,32,4,8,124,75776,256,125.522,218.226,0.575191,239.445
1024,4096,4096,small-m,128,128,32,64,32,5,8,124,94720,256,101.478,218.226,0.465013,239.445
1024,4096,4096,small-m,128,128,32,32,64,4,8,127,75776,256,123.946,218.226,0.567972,239.445
1024,4096,4096,small-m,128,128,32,32,32,4,8,95,75776,512,92.9061,218.226,0.425733,239.445
1024,4096,4096,small-m,256,128,32,64,32,3,8,125,135168,512,87.1221,218.226,0.399229,239.445
1024,4096,4096,small-m,128,256,32,64,32,3,8,125,133120,512,89.0859,218.226,0.408228,239.445
1024,4096,4096,small-m,128,128,32,64,64,4,1,225,75776,128,132.161,218.226,0.605617,239.445
1024,4096,4096,small-m,128,128,32,64,64,4,2,225,75776,128,131.815,218.226,0.604029,239.445
1024,4096,4096,small-m,128,128,32,64,64,4,4,225,75776,128,132.696,218.226,0.608065,239.445
1024,4096,4096,small-m,128,128,32,64,64,4,16,225,75776,128,132.755,218.226,0.608336,239.445
1024,4096,4096,small-m,128,128,32,64,64,4,32,225,75776,128,132.714,218.226,0.60815,239.445
1024,4096,4096,small-m,256,128,64,64,64,3,4,248,162816,256,102.665,218.226,0.470451,239.445
1024,4096,4096,small-m,256,128,64,64,64,3,16,248,162816,256,103.261,218.226,0.473184,239.445
4096,1024,4096,small-n,128,128,32,64,64,3,8,224,67584,128,118.702,219.87,0.539873,239.445
4096,1024,4096,small-n,128,128,32,64,64,4,8,225,75776,128,133.213,219.87,0.605872,239.445
4096,1024,4096,small-n,128,128,64,64,64,3,8,243,107520,128,114.738,219.87,0.521842,239.445
4096,1024,4096,small-n,128,128,64,64,32,3,8,125,107520,256,114.323,219.87,0.519957,239.445
4096,1024,4096,small-n,128,256,32,64,64,3,8,236,133120,256,89.7711,219.87,0.408291,239.445
4096,1024,4096,small-n,256,128,32,64,64,3,8,226,135168,256,82.654,219.87,0.375921,239.445
4096,1024,4096,small-n,128,64,64,64,32,4,8,127,110592,128,105.308,219.87,0.478953,239.445
4096,1024,4096,small-n,64,128,64,32,64,4,8,167,106496,128,77.1499,219.87,0.350888,239.445
4096,1024,4096,small-n,64,64,64,32,32,4,8,91,73728,128,99.6479,219.87,0.453212,239.445
4096,1024,4096,small-n,256,128,64,64,64,3,8,248,162816,256,102.689,219.87,0.467044,239.445
4096,1024,4096,small-n,128,128,32,64,32,3,8,124,67584,256,124.993,219.87,0.568486,238.446
4096,1024,4096,small-n,128,128,32,64,32,4,8,124,75776,256,121.082,219.87,0.550695,238.446
4096,1024,4096,small-n,128,128,32,64,32,5,8,124,94720,256,101.853,219.87,0.463241,238.446
4096,1024,4096,small-n,128,128,32,32,64,4,8,127,75776,256,123.54,219.87,0.561877,238.446
4096,1024,4096,small-n,128,128,32,32,32,4,8,95,75776,512,93.2761,219.87,0.424232,238.446
4096,1024,4096,small-n,256,128,32,64,32,3,8,125,135168,512,87.2393,219.87,0.396776,238.446
4096,1024,4096,small-n,128,256,32,64,32,3,8,125,133120,512,89.1054,219.87,0.405263,238.446
4096,1024,4096,small-n,128,128,32,64,64,4,1,225,75776,128,132.751,219.87,0.603768,238.446
4096,1024,4096,small-n,128,128,32,64,64,4,2,225,75776,128,131.48,219.87,0.59799,238.446
4096,1024,4096,small-n,128,128,32,64,64,4,4,225,75776,128,131.697,219.87,0.598976,238.446
4096,1024,4096,small-n,128,128,32,64,64,4,16,225,75776,128,132.224,219.87,0.601371,238.446
4096,1024,4096,small-n,128,128,32,64,64,4,32,225,75776,128,130.259,219.87,0.592436,238.446
4096,1024,4096,small-n,256,128,64,64,64,3,4,248,162816,256,102.537,219.87,0.466351,238.446
4096,1024,4096,small-n,256,128,64,64,64,3,16,248,162816,256,103.376,219.87,0.47017,238.446
8192,2048,4096,wide-m,128,128,32,64,64,3,8,224,67584,128,163.812,235.504,0.695579,238.446
8192,2048,4096,wide-m,128,128,32,64,64,4,8,225,75776,128,172.74,235.504,0.733492,238.446
8192,2048,4096,wide-m,128,128,64,64,64,3,8,243,107520,128,137.676,235.504,0.584602,238.446
8192,2048,4096,wide-m,128,128,64,64,32,3,8,125,107520,256,135.79,235.504,0.576595,238.446
8192,2048,4096,wide-m,128,256,32,64,64,3,8,236,133120,256,142.529,235.504,0.605207,238.446
8192,2048,4096,wide-m,256,128,32,64,64,3,8,226,135168,256,134.652,235.504,0.571759,238.446
8192,2048,4096,wide-m,128,64,64,64,32,4,8,127,110592,128,110.397,235.504,0.46877,238.446
8192,2048,4096,wide-m,64,128,64,32,64,4,8,167,106496,128,81.6087,235.504,0.346528,238.446
8192,2048,4096,wide-m,64,64,64,32,32,4,8,91,73728,128,103.122,235.504,0.437877,238.446
8192,2048,4096,wide-m,256,128,64,64,64,3,8,248,162816,256,160.913,235.504,0.683272,238.446
8192,2048,4096,wide-m,128,128,32,64,32,3,8,124,67584,256,155.181,235.504,0.658933,238.446
8192,2048,4096,wide-m,128,128,32,64,32,4,8,124,75776,256,157.671,235.504,0.669507,236.551
8192,2048,4096,wide-m,128,128,32,64,32,5,8,124,94720,256,122.963,235.504,0.522126,236.551
